Name1,Name2,Co-mentions,Average Sentiment
Donald Trump,George W. Bush,37,0.0745099529076159
Donald Trump,Chris Cillizza,8,0.1064207515794419
Donald Trump,Bernie Sanders,14,0.112286985126567
Donald Trump,Doug Ducey,20,0.0617367886758863
Donald Trump,Ted Cruz,12,0.0862369970335319
Donald Trump,Samuel Alito,6,0.0902944033326243
Donald Trump,Brett Kavanaugh,10,0.1121494102223428
Donald Trump,Neil Gorsuch,10,0.0579261773163497
Donald Trump,Clarence Thomas,6,0.066502055364811
Donald Trump,Joe Biden's,14,0.048981089318466
Donald Trump,Rick Hasen,10,0.0504040780747588
Donald Trump,Jackie Speier,6,0.0879110509974707
Donald Trump,Robert Jones,6,0.0338935437910345
Donald Trump,Susan Collins,8,0.0478206297023802
Donald Trump,Mike Pence,18,0.0327920825336454
Donald Trump,Jeremy Herb,6,0.0478599956398517
Donald Trump,Sonia Sotomayor,10,0.0618431401870878
Donald Trump,Kevin Brady,6,0.1323032835127786
Donald Trump,Beto O'Rourke,6,0.1540816554509275
Donald Trump,Michelle Vallejo,6,0.1540816554509275
Donald Trump,Ruben Ramirez,6,0.1540816554509275
Donald Trump,Monica De La Cruz,6,0.1540816554509275
Donald Trump,Vicente Gonzalez,6,0.1540816554509275
Donald Trump,Joe Arpaio,10,0.0982059092660134
Donald Trump,Alexandria Ocasio-Cortez,5,0.1262493280742574
Donald Trump,Hillary Clinton,46,0.0855429100418542
Donald Trump,George Bush,8,0.099884540465473
Donald Trump,Jair Bolsonaro,6,0.1257627650937785
Donald Trump,Bubba Wallace,8,0.0392494825124407
Donald Trump,George Floyd,22,0.0427814517436814
Donald Trump,Breonna Taylor,10,0.0627662115969971
Donald Trump,Eric Schmidt,8,0.1136042033402327
Donald Trump,Ashraf Ghani,6,0.0926415101164432
Donald Trump,Narendra Modi,6,0.1110804309527462
Donald Trump,Ronald Reagan,26,0.0864192641431284
Donald Trump,John D. Sutter,8,0.0796595119021733
Donald Trump,Steve Bannon,6,0.0507064372054561
Donald Trump,Martin Luther King Jr.,24,0.0545213097146691
Donald Trump,George Wallace,6,0.0307734358633639
Donald Trump,Ben Carson,6,0.060826301070066
Donald Trump,George H.W. Bush,10,0.0544743556030479
Donald Trump,Saddam Hussein,6,0.0220494007121574
Donald Trump,George H. W. Bush,8,0.0036971760879635
Donald Trump,Carol Anderson,6,0.0207724996633427
Donald Trump,Shayne Lee,6,0.0930684414780926
Donald Trump,Jared Kushner,6,-0.0090376753354843
Donald Trump,Michael Dukakis,8,-0.0283113474689561
Donald Trump,Donald Trump's,22,0.0570969556442479
Donald Trump,Willie Horton,7,-0.0220160446868521
Donald Trump,Benjamin Netanyahu,6,0.0244253938920156
Donald Trump,Jeffrey Myers,6,-0.0086632024187904
Donald Trump,Melania Trump,14,0.028397458294251
Donald Trump,Sanjay Gupta,12,0.0720779033593604
Donald Trump,Arnold Schwarzenegger,6,0.0752183244754885
Donald Trump,Roger Stone,16,0.072317857159836
Donald Trump,Heather Heyer,8,0.0231944658934179
Donald Trump,Muhammad Ali,12,0.0978969805252581
Donald Trump,Steph Curry,10,0.0890979630747272
Donald Trump,Omar Suleiman,8,0.0443145126941623
Donald Trump,Eric Liu,8,0.097170854015656
Donald Trump,Mark Naison,8,0.008541171774475
Donald Trump,David Billings,8,0.0429488976545935
Donald Trump,Robert E. Lee,8,0.0302942189976549
Donald Trump,Richard Spencer,8,0.0302942189976549
Donald Trump,Jerald Podair,8,0.0375088192289519
Donald Trump,Jim Crow,12,0.0703068913438841
Donald Trump,John Blake,8,0.066570855319222
Donald Trump,Tawanda Scott,8,0.066570855319222
Donald Trump,Justin Trudeau,8,0.1023128856792719
Donald Trump,Jesse Helms,6,0.0746891846585442
Donald Trump,Tim Cook,8,0.0651404071097253
Donald Trump,Bill Gates,14,0.061890534477193
Donald Trump,George Washington's,8,0.0775708778006001
Donald Trump,Anderson Cooper,10,0.0285084245819539
Donald Trump,Michael Flynn,16,0.0441269766523954
Donald Trump,Scott Bronstein,12,0.0495708702003786
Donald Trump,Yahya Abou-Ghazala,32,0.0461639148056018
Donald Trump,Doug Logan,12,0.0549981571818443
Donald Trump,Drew Griffin,20,-0.0134187672550766
Donald Trump,Curt Devine,16,0.0679154064687432
Donald Trump,Sidney Powell,12,0.0523281486505918
Donald Trump,Audrey Ash,12,0.0330404576609085
Donald Trump,Nelli Black,16,0.0038038086508554
Donald Trump,Mike Lindell,8,0.0594903208371383
Donald Trump,Harri Hursti,8,0.0676310896078413
Donald Trump,Bin Laden,8,0.0100719457517337
Donald Trump,Osama bin Laden,12,0.0077952715399558
Donald Trump,bin Laden,8,0.0100719457517337
Donald Trump,Karen Fann,8,0.045524530841965
Donald Trump,Christina Bobb,8,0.045524530841965
Donald Trump,Ashli Babbitt,8,0.0257254541346595
Donald Trump,LeBron James,14,0.0739516446890796
Donald Trump,Alex Jones,8,0.0373836003697663
Donald Trump,Ali Alexander,16,0.0473542165070739
Donald Trump,Benjamin Naughton,12,0.0182119424943865
Donald Trump,Anthony Fauci,8,0.0373836003697663
Donald Trump,Melanie Hicken,12,0.0535609093616993
Donald Trump,Blake Ellis,11,0.0573962435140976
Donald Trump,Charlie Kirk,6,0.05896004396358
Donald Trump,Xi Jinping,8,0.0666186242063636
Donald Trump,Bob Ortega,8,0.0458837621708435
Donald Trump,Nick Ochs,8,0.1075485708375319
Donald Trump,Michael T. Flynn,8,0.0244485985676552
Donald Trump,Andy Biggs,8,0.0129904385332016
Donald Trump,William Barr,8,0.0455402521455153
Donald Trump,Brian Sicknick,8,0.024105088542327
Donald Trump,Alexey Navalny,10,0.0134011334975454
Donald Trump,Gregg Popovich,6,0.0952708735531959
Donald Trump,Doc Rivers,6,0.0477446527802218
Donald Trump,Steve Kerr,6,0.0988741331970498
Donald Trump,Ursula von der Leyen,8,0.0873093092941622
Donald Trump,Antony Blinken,12,0.0560398978718538
Donald Trump,Luke McGee,6,0.1184363378881038
Donald Trump,Boris Johnson,26,0.0898175871778224
Donald Trump,Emmanuel Macron,22,0.0875246492638124
Donald Trump,Angela Merkel,22,0.0897273938538611
Donald Trump,Colin Kaepernick,8,0.0963476256994281
Donald Trump,Jacob Blake,8,0.0584119559089403
Donald Trump,Jeremy Corbyn,6,0.0723499419972244
Donald Trump,Boris Johnson's,6,0.0775818276013994
Donald Trump,Angela Merkel's,12,0.0718642926463719
Donald Trump,Dmitry Peskov,6,0.0198334889344669
Donald Trump,Jeremy Lin,6,0.0316790674603174
Donald Trump,Prince Harry,8,0.0812936992675534
Donald Trump,Prince William,6,0.0750978382448877
Donald Trump,Meghan Markle,6,0.0750978382448877
Donald Trump,Princess Diana,6,0.0750978382448877
Donald Trump,Marine Le Pen,6,0.0592907723821557
Donald Trump,Donald Tusk,8,0.0782480750200745
Donald Trump,Elizabeth II,18,0.087387750587331
Donald Trump,Irene Kasner,8,0.0782480750200745
Donald Trump,Helmut Kohl,8,0.0782480750200745
Donald Trump,Antti Rinne,8,0.0782480750200745
Donald Trump,Tedros Adhanom Ghebreyesus,8,0.0782480750200745
Donald Trump,Volodymyr Zelensky,12,0.0578601646321409
Donald Trump,Theresa May,16,0.0757861842020833
Donald Trump,Ulrich Merkel,8,0.0782480750200745
Donald Trump,Michelle Obama,8,0.0782480750200745
Donald Trump,Armin Laschet,8,0.0782480750200745
Donald Trump,CNNAngela Merkel,8,0.0782480750200745
Donald Trump,Joachim Sauer,8,0.0782480750200745
Donald Trump,Horst Kasner,8,0.0782480750200745
Donald Trump,Horst Seehofer,8,0.0782480750200745
Donald Trump,Karl Vick,8,0.0782480750200745
Donald Trump,Volker Bouffier,8,0.0782480750200745
Donald Trump,Prince Andrew,6,0.0648437989221662
Donald Trump,Jill Biden,8,0.0917052398496876
Donald Trump,Prince Philip,6,0.0904822638853873
Donald Trump,Queen Elizabeth II,6,0.0904822638853873
Donald Trump,Jorge Soler,8,0.0535284927298745
Donald Trump,Jose Altuve,6,0.0721607303115923
Donald Trump,Austin Riley,6,0.0721607303115923
Donald Trump,Dansby Swanson,6,0.0721607303115923
Donald Trump,Eddie Rosario,6,0.0721607303115923
Donald Trump,Will Smith,6,0.0721607303115923
Donald Trump,Freddie Freeman,6,0.0721607303115923
Donald Trump,Dusty Baker,6,0.0721607303115923
Donald Trump,Brian Snitker,6,0.0721607303115923
Chris Liakos,Vasco Cotovio,5,0.0584686839090941
Chris Liakos,Nadine Schmidt,8,0.0641107249182195
Chris Liakos,Boris Johnson,8,0.0669186604121771
Chris Liakos,Schams Elwazer,6,0.0772773842608498
Chris Liakos,Kyriakos Mitsotakis,10,0.0567126494518122
Chris Liakos,Angela Merkel,6,0.0772053562738523
Vasco Cotovio,Nadine Schmidt,8,0.0152225130774995
Vasco Cotovio,Barbara Wojazer,6,0.0051207617491925
Vasco Cotovio,Sharon Braithwaite,6,0.0051207617491925
Vasco Cotovio,Sarah Dean,6,0.0511176079838559
Vasco Cotovio,Boris Johnson,6,0.0499780857713747
Vasco Cotovio,Angela Merkel,6,0.0368534739318617
Vasco Cotovio,Olaf Scholz,6,-0.012368251436254
Caroline Rice,Davina Mathurin,6,0.0580331836488553
Caroline Rice,Felicia Boshorin,6,0.0580331836488553
Caroline Rice,Monique John,6,0.0580331836488553
Caroline Rice,Annalisa Moseley,6,0.0580331836488553
Caroline Rice,CNNNazmin Begum,6,0.0580331836488553
Caroline Rice,CJ Bowry,6,0.0580331836488553
Caroline Rice,Lucy Bannister,6,0.0580331836488553
Caroline Rice,Ian Allinson,6,0.0580331836488553
Caroline Rice,Joseph De,6,0.0580331836488553
Davina Mathurin,Felicia Boshorin,6,0.0580331836488553
Davina Mathurin,Monique John,6,0.0580331836488553
Davina Mathurin,Annalisa Moseley,6,0.0580331836488553
Davina Mathurin,CNNNazmin Begum,6,0.0580331836488553
Davina Mathurin,CJ Bowry,6,0.0580331836488553
Davina Mathurin,Lucy Bannister,6,0.0580331836488553
Davina Mathurin,Ian Allinson,6,0.0580331836488553
Davina Mathurin,Joseph De,6,0.0580331836488553
Felicia Boshorin,Monique John,6,0.0580331836488553
Felicia Boshorin,Annalisa Moseley,6,0.0580331836488553
Felicia Boshorin,CNNNazmin Begum,6,0.0580331836488553
Felicia Boshorin,CJ Bowry,6,0.0580331836488553
Felicia Boshorin,Lucy Bannister,6,0.0580331836488553
Felicia Boshorin,Ian Allinson,6,0.0580331836488553
Felicia Boshorin,Joseph De,6,0.0580331836488553
Monique John,Annalisa Moseley,6,0.0580331836488553
Monique John,CNNNazmin Begum,6,0.0580331836488553
Monique John,CJ Bowry,6,0.0580331836488553
Monique John,Lucy Bannister,6,0.0580331836488553
Monique John,Ian Allinson,6,0.0580331836488553
Monique John,Joseph De,6,0.0580331836488553
Annalisa Moseley,CNNNazmin Begum,6,0.0580331836488553
Annalisa Moseley,CJ Bowry,6,0.0580331836488553
Annalisa Moseley,Lucy Bannister,6,0.0580331836488553
Annalisa Moseley,Ian Allinson,6,0.0580331836488553
Annalisa Moseley,Joseph De,6,0.0580331836488553
CNNNazmin Begum,CJ Bowry,6,0.0580331836488553
CNNNazmin Begum,Lucy Bannister,6,0.0580331836488553
CNNNazmin Begum,Ian Allinson,6,0.0580331836488553
CNNNazmin Begum,Joseph De,6,0.0580331836488553
CJ Bowry,Lucy Bannister,6,0.0580331836488553
CJ Bowry,Ian Allinson,6,0.0580331836488553
CJ Bowry,Joseph De,6,0.0580331836488553
Lucy Bannister,Ian Allinson,6,0.0580331836488553
Lucy Bannister,Joseph De,6,0.0580331836488553
Ian Allinson,Joseph De,6,0.0580331836488553
Kim Davis,Massimo Faggioli,8,0.053748438338282
Kim Davis,Theodore McCarrick,8,0.053748438338282
Kim Davis,Carlo Maria Vigano,8,0.053748438338282
Kim Davis,Benedict XVI,8,0.053748438338282
Julian Evans-Pritchard,Li Keqiang,7,0.0842562660769182
Julian Evans-Pritchard,Larry Hu,7,0.0842562660769182
Julian Evans-Pritchard,Fu Linghui,7,0.0842562660769182
Li Keqiang,Larry Hu,7,0.0842562660769182
Li Keqiang,Fu Linghui,7,0.0842562660769182
Larry Hu,Fu Linghui,7,0.0842562660769182
Poppy Harlow,Anderson Cooper,8,0.0534167668680661
Poppy Harlow,Isobel Bowdery,8,0.0534167668680661
Poppy Harlow,"""Isobel Bowdery",8,0.0534167668680661
Poppy Harlow,Maria Moore,8,0.0534167668680661
Poppy Harlow,Jesse Hughes,8,0.0534167668680661
Poppy Harlow,Nicolas Strohl,8,0.0534167668680661
Poppy Harlow,Hala Gorani,8,0.0534167668680661
Poppy Harlow,Denys Plaud,8,0.0534167668680661
Joe Biden,Joe Manchin,7,0.0733688174259602
Joe Biden,Jerome Powell,5,0.0608004652064353
Joe Biden,Manu Raju,5,0.0957694129649543
Joe Biden,Ivana Kottasová,8,0.0313601318847813
Joe Biden,Volodymyr Zelensky,18,0.038312909004625
Joe Biden,Xi Jinping,12,0.0538169117378958
Joe Biden,Joe Biden's,10,0.0518632281904593
Joe Biden,Nancy Pelosi,14,0.0620230774078129
