,Name1,Name2,Co-mentions,Average Sentiment
2335,Donald Trump,Colin Kaepernick,8,0.0963476256994281
2342,Donald Trump,Jacob Blake,8,0.0584119559089403
2410,Donald Trump,Jeremy Corbyn,6,0.0723499419972244
2437,Donald Trump,Boris Johnsons,6,0.0775818276013994
2455,Donald Trump,Angela Merkels,12,0.0718642926463719
2460,Donald Trump,Dmitry Peskov,6,0.0198334889344669
2474,Donald Trump,Jeremy Lin,6,0.0316790674603174
2483,Donald Trump,Prince Harry,8,0.0812936992675534
2487,Donald Trump,Prince William,6,0.0750978382448877
2489,Donald Trump,Meghan Markle,6,0.0750978382448877
2491,Donald Trump,Princess Diana,6,0.0750978382448877
2496,Donald Trump,Marine Le Pen,6,0.0592907723821557
2509,Donald Trump,Donald Tusk,8,0.0782480750200745
2510,Donald Trump,Elizabeth II,18,0.087387750587331
2511,Donald Trump,Irene Kasner,8,0.0782480750200745
2513,Donald Trump,Helmut Kohl,8,0.0782480750200745
2514,Donald Trump,Antti Rinne,8,0.0782480750200745
2515,Donald Trump,Tedros Adhanom Ghebreyesus,8,0.0782480750200745
2517,Donald Trump,Volodymyr Zelensky,12,0.0578601646321409
2519,Donald Trump,Theresa May,16,0.0757861842020833
2520,Donald Trump,Ulrich Merkel,8,0.0782480750200745
2521,Donald Trump,Michelle Obama,8,0.0782480750200745
2522,Donald Trump,Armin Laschet,8,0.0782480750200745
2523,Donald Trump,CNNAngela Merkel,8,0.0782480750200745
2524,Donald Trump,Joachim Sauer,8,0.0782480750200745
2526,Donald Trump,Horst Kasner,8,0.0782480750200745
2527,Donald Trump,Horst Seehofer,8,0.0782480750200745
2528,Donald Trump,Karl Vick,8,0.0782480750200745
2529,Donald Trump,Volker Bouffier,8,0.0782480750200745
2547,Donald Trump,Prince Andrew,6,0.0648437989221662
2560,Donald Trump,Jill Biden,8,0.0917052398496876
2562,Donald Trump,Prince Philip,6,0.0904822638853873
2564,Donald Trump,Queen Elizabeth II,6,0.0904822638853873
2593,Donald Trump,Jorge Soler,8,0.0535284927298745
2776,Donald Trump,Jose Altuve,6,0.0721607303115923
2778,Donald Trump,Austin Riley,6,0.0721607303115923
2781,Donald Trump,Dansby Swanson,6,0.0721607303115923
2782,Donald Trump,Eddie Rosario,6,0.0721607303115923
2783,Donald Trump,Will Smith,6,0.0721607303115923
2785,Donald Trump,Freddie Freeman,6,0.0721607303115923
2786,Donald Trump,Dusty Baker,6,0.0721607303115923
2787,Donald Trump,Brian Snitker,6,0.0721607303115923
3117,Chris Liakos,Nadine Schmidt,8,0.0641107249182195
3118,Chris Liakos,Boris Johnson,8,0.0669186604121771
3127,Chris Liakos,Schams Elwazer,6,0.0772773842608498
3146,Chris Liakos,Kyriakos Mitsotakis,10,0.0567126494518122
3147,Chris Liakos,Angela Merkel,6,0.0772053562738523
3522,Vasco Cotovio,Nadine Schmidt,8,0.0152225130774995
3525,Vasco Cotovio,Barbara Wojazer,6,0.0051207617491925
3527,Vasco Cotovio,Sharon Braithwaite,6,0.0051207617491925
3530,Vasco Cotovio,Sarah Dean,6,0.0511176079838559
3534,Vasco Cotovio,Boris Johnson,6,0.0499780857713747
3538,Vasco Cotovio,Angela Merkel,6,0.0368534739318617
3540,Vasco Cotovio,Olaf Scholz,6,-0.012368251436254
3585,Caroline Rice,Davina Mathurin,6,0.0580331836488553
3586,Caroline Rice,Felicia Boshorin,6,0.0580331836488553
3587,Caroline Rice,Monique John,6,0.0580331836488553
3588,Caroline Rice,Annalisa Moseley,6,0.0580331836488553
3589,Caroline Rice,CNNNazmin Begum,6,0.0580331836488553
3590,Caroline Rice,CJ Bowry,6,0.0580331836488553
3591,Caroline Rice,Lucy Bannister,6,0.0580331836488553
3592,Caroline Rice,Ian Allinson,6,0.0580331836488553
3593,Caroline Rice,Joseph De,6,0.0580331836488553
3594,Davina Mathurin,Felicia Boshorin,6,0.0580331836488553
3595,Davina Mathurin,Monique John,6,0.0580331836488553
3596,Davina Mathurin,Annalisa Moseley,6,0.0580331836488553
3597,Davina Mathurin,CNNNazmin Begum,6,0.0580331836488553
3598,Davina Mathurin,CJ Bowry,6,0.0580331836488553
3599,Davina Mathurin,Lucy Bannister,6,0.0580331836488553
3600,Davina Mathurin,Ian Allinson,6,0.0580331836488553
3601,Davina Mathurin,Joseph De,6,0.0580331836488553
3602,Felicia Boshorin,Monique John,6,0.0580331836488553
3603,Felicia Boshorin,Annalisa Moseley,6,0.0580331836488553
3604,Felicia Boshorin,CNNNazmin Begum,6,0.0580331836488553
3605,Felicia Boshorin,CJ Bowry,6,0.0580331836488553
3606,Felicia Boshorin,Lucy Bannister,6,0.0580331836488553
3607,Felicia Boshorin,Ian Allinson,6,0.0580331836488553
3608,Felicia Boshorin,Joseph De,6,0.0580331836488553
3609,Monique John,Annalisa Moseley,6,0.0580331836488553
3610,Monique John,CNNNazmin Begum,6,0.0580331836488553
3611,Monique John,CJ Bowry,6,0.0580331836488553
3612,Monique John,Lucy Bannister,6,0.0580331836488553
3613,Monique John,Ian Allinson,6,0.0580331836488553
3614,Monique John,Joseph De,6,0.0580331836488553
3615,Annalisa Moseley,CNNNazmin Begum,6,0.0580331836488553
3616,Annalisa Moseley,CJ Bowry,6,0.0580331836488553
3617,Annalisa Moseley,Lucy Bannister,6,0.0580331836488553
3618,Annalisa Moseley,Ian Allinson,6,0.0580331836488553
3619,Annalisa Moseley,Joseph De,6,0.0580331836488553
3620,CNNNazmin Begum,CJ Bowry,6,0.0580331836488553
3621,CNNNazmin Begum,Lucy Bannister,6,0.0580331836488553
3622,CNNNazmin Begum,Ian Allinson,6,0.0580331836488553
3623,CNNNazmin Begum,Joseph De,6,0.0580331836488553
3624,CJ Bowry,Lucy Bannister,6,0.0580331836488553
3625,CJ Bowry,Ian Allinson,6,0.0580331836488553
3626,CJ Bowry,Joseph De,6,0.0580331836488553
3627,Lucy Bannister,Ian Allinson,6,0.0580331836488553
3628,Lucy Bannister,Joseph De,6,0.0580331836488553
3629,Ian Allinson,Joseph De,6,0.0580331836488553
3639,Kim Davis,Massimo Faggioli,8,0.053748438338282
3640,Kim Davis,Theodore McCarrick,8,0.053748438338282
3642,Kim Davis,Carlo Maria Vigano,8,0.053748438338282
3644,Kim Davis,Benedict XVI,8,0.053748438338282
3655,Julian EvansPritchard,Li Keqiang,7,0.0842562660769182
3656,Julian EvansPritchard,Larry Hu,7,0.0842562660769182
3657,Julian EvansPritchard,Fu Linghui,7,0.0842562660769182
3658,Li Keqiang,Larry Hu,7,0.0842562660769182
3659,Li Keqiang,Fu Linghui,7,0.0842562660769182
3672,Larry Hu,Fu Linghui,7,0.0842562660769182
3715,Poppy Harlow,Anderson Cooper,8,0.0534167668680661
3718,Poppy Harlow,Isobel Bowdery,8,0.0534167668680661
3720,Poppy Harlow,Isobel Bowdery,8,0.0534167668680661
3722,Poppy Harlow,Maria Moore,8,0.0534167668680661
3724,Poppy Harlow,Jesse Hughes,8,0.0534167668680661
3731,Poppy Harlow,Nicolas Strohl,8,0.0534167668680661
3735,Poppy Harlow,Hala Gorani,8,0.0534167668680661
3736,Poppy Harlow,Denys Plaud,8,0.0534167668680661
3814,Joe Biden,Joe Manchin,7,0.0733688174259602
3824,Joe Biden,Ivana Kottasová,8,0.0313601318847813
3833,Joe Biden,Volodymyr Zelensky,18,0.038312909004625
3857,Joe Biden,Xi Jinping,12,0.0538169117378958
3858,Joe Biden,Joe Bidens,10,0.0518632281904593
3862,Joe Biden,Nancy Pelosi,14,0.0620230774078129
3863,Joe Biden,Mitch McConnell,18,0.049310380866116
3866,Joe Biden,Liz Cheney,12,0.0432580982086903
3869,Joe Biden,Paul Gosar,12,-0.008572374301802
3873,Joe Biden,Kari Lake,8,0.0380544975067015
